,rumor,text
rumor388!,1,接种疫苗等于百分百不得病
rumor389,0,放了支架了，不能打麻将，长时间的久坐对腰椎，颈椎都不好，对全身的血液循环都不好。麻将室周围肯定有人抽烟，二手烟的危害一样大，如果要是胡牌了，一紧张一高兴，这血压蹭就上来了，容易出现心脑血管问题。
rumor390,0,心内科，心外科的差别搭桥是治疗冠心病的一个手段扩张动脉粥样硬化引起这种狭窄，严重狭窄之后在你药物治疗效果不好的情况下才要考虑做的手术通过之下，微血管长而狭窄的玄关这个撑起了只有支架，无论是搭桥还是支架的病人一般他们都先就诊的心内科来做冠脉造影工作就是通过一个导管通过胳膊和腿是个开放性手术是在心外科做的这是它最本质的一个差别但是具体是做支架，还是做搭桥一定是在做完造影之后再决定
rumor391,0,海带中富含碘，孕妇适量吃海带能防止碘缺乏，此外，海带中含有丰富的牛磺酸、谷氨酸等，可促进胎儿脑部和神经发育，孕妇适量吃海带对胎儿有益。 菠菜中含有大量的维生素和膳食纤维，有助于缓解便秘，保持大便通畅，但菠菜中含有较高的草酸，人体胃肠道不容易吸收，建议烹饪时先用水焯一下，这样更有利于人体吸收
rumor392,0,我们不管有没有进食，都会都会大量分泌胃酸酸水对胃黏膜有影响，不规律的进食，胃肠蠕动会减慢，出现腹胀腹痛，三餐要定时定量，这样对身体才好。
rumor393,0,我们想在早期的发现癌症或者是癌前病变就要赶在病变之前还是息肉状态的时候，早期的发现它，处理它，并且定期复查才能有效地避免。
rumor394!,1,说这个支架技术已经在国外被淘汰了。
rumor395,0,右眼跳灾，这是没有任何科学依据的颅神经有得受走行的路程比较长，在这个过程中一旦受到一些刺激的时候，或者跟一些血管像接触所会产生这些的症状。眼皮跳是一种常见的一种现象。
rumor396,0,心梗的症状出现要舌下含服一片硝酸甘油或油速效救心丸。
rumor397,0,保护大脑的方法一就是一定要多吃蛋白质。
rumor398!,1,所有的老年人都要吃阿司匹林。
rumor399,0,不要轻易地把便血啊当成是痔疮如果是肠道的恶性肿瘤被当成痔疮拖下去，那样就太危险了。
rumor400,0,总生病，不代表抵抗力差，也不代表身体不好。 打个比方，抵抗力就相当于人体内的防御部队。只要有病毒、细菌等外敌入侵，它马上集结开始抗击外敌。 这支部队强不强，取决于两个因素：对病毒细菌的敏锐度与战斗力。抵抗力只有在不断“战斗”中，才能大幅增强。家长切勿过度保护孩子，最重要是养成良好的饮食和生活习惯。
rumor401,0,预防和控制高尿酸要限酒，无论是白酒，啤酒，红酒还是黄酒，只要是酒，都会影响尿酸的代谢。
rumor402,0,饮酒都可能会造成你心脏冠状动脉的不稳定也可能会诱发心绞痛的发作那么他就有可能会诱发心绞痛可能诱发心绞痛发作心里想着粮食增大的有可能会诱发你冠状动脉里面柏宁斑块儿的破裂所以一定好管好自个儿的小脾气，忍一时风平浪静
rumor403,0,低密度脂蛋白，这是我们心内科医生最关注的一个指标修正的一个指标，老百姓所说的这个坏蛋白，它的增高会加重你的这种动脉粥样硬化这个进展，它是形成斑块的一个重要的原因。
rumor404!,1,高血压疫苗来了。
rumor405!,1,做肠镜前不用喝泻药。
rumor406,0,常吃含有大豆异黄酮的食物，不仅不会致癌、性早熟，反而有助于预防身体的很多疾病。其能够降低乳腺癌、前列腺癌等癌症的发病风险，预防改善绝经后骨质疏松，降低心血管疾病的发病风险，对改善阿尔茨海默病也有积极作用
rumor407,0,你不要没有固定的公式说每天吃几个鸡蛋对你来讲是好的，高血压的病人吃鸡蛋对你来讲都是有益的，每天可能一天吃两个鸡蛋，具体吃几个鸡蛋。
rumor408!,1,绞肉机洗不干净会发霉，产生损伤肝脏、致癌的黄曲霉毒素
rumor409!,1,得了幽门螺杆菌不需要治
rumor410,0,我国制定了草莓中177种农药的最大残留限量，基本涵盖草莓生产所用的相关农药。即便农药残留超标，也不能说一定就是不安全的，关键是超标的程度是多少，各国在制定农药残留限量标准时一般会增加至少100倍的安全系数。
rumor411,0,脑动脉瘤就相当于我们血管上鼓起了一个小包咱们的血管实际上就像是汽车的轮胎那么用久了之后或者压力过高之后那个地方就会磨损在从过去的手就可能会引起一个古堡那么这个鼓包最大的危害就是在血压波动的时候获得它长大的时候可能会破裂
rumor412!,1,有人说喝点儿酒能降血压还助于睡眠。
rumor413,0,很多人都说医生这个职业很好，可是在我看来，就是吃的是很累很累的一个行业，这种累，不光是体力的累，但是我相信各行各业的人都会为了自己的理想不断努力着不停奋斗努力去去实现的一些理想和目标。
rumor414,0,长期应用胰岛素治疗是因为病情需要或是患者本身胰岛无法提供自身所需要的胰岛素，而并非是对胰岛素产生了依赖
rumor415,0,幽门螺杆菌不容易消杀原因，幽门螺杆菌可以分解尿素形成的代谢产物，含有碱性物质会在它的周围形成一个局部相对碱性的环境。
rumor416!,1,牙膏需要勤换换牌子和款式，以免产生耐药性
rumor417,0,戒烟后身体出现的不适感属于戒断反应，对健康没有任何影响。 当吸烟者减少吸烟量或停止吸烟时，身体中的尼古丁浓度降低到一定水平，吸烟者无法继续体验吸烟带来的愉悦感，从而引起对尼古丁的渴求，产生强烈的吸烟欲望，并出现一系列的戒断症状，包括渴求、焦虑、抑郁、不安、头痛、唾液腺分泌增加、注意力不集中、睡眠障碍、血压升高和心率加快等，部分患者还会出现体重增加。 但应该明确的是，上述这些戒断症状是戒烟过程中的正常现象，通常在戒烟的前14天内最为强烈，大约1个月后开始减弱，直至慢慢消失，身体恢复到正常状态。
rumor418,0,有胃病的人建议喝红茶。
rumor419,0,我相信看了我视频的人会有很多人因为我的视频去戒烟在这儿讲为很多冠心病相关的一些知识是希望更多的人能了解冠心病。今天我们不讲医学知识，我也特别特别的开心，我会把更多更好的知识传递给大家。
rumor420,0,宝宝头受伤，首先观察他的精神状态，看他吃奶的情况，宝宝如果受伤之后想睡觉，总是睡觉，建议还是到医院来找专科医生做一个检查。
rumor421,0,但我从来都不看说大夫都会给你复查血常规呢，我一看强弱百分之五十你说你拿个片子来给我看好还是拿个报告给我看好？我当然要看看这个虾仁在什么位置，不用再出手看着吧，就会遭到各种各样的质疑说她到了医院以后都得重新查以前的，资料都没用啊，确定你的，病情很有可能不，不，单纯的，是个肺炎
rumor422,0,反流病要改变生活方式和饮食习惯。
rumor423,0,胆红素其实主要是红细胞的残骸，轻度升高没有特别的影响，但需要注意保护肝脏，过高就需要就医了
rumor424,0,诸如使用“手指尖放血疗法”或者保持“头脚抬高”的姿势，都不会逆转急性心肌梗死对身体带来的伤害
rumor425!,1,脑血管畸形会遗传。
rumor426,0,血药浓度其实从字面意思就很好理解了，就是药物在你血液中的这个浓度只有到了一个有效的，稳定的一个血药浓度，这样才对疾病有预防和治疗的效果。要按药品的说明书上明确规定了一天吃一次或者一天吃两次。
rumor427,0,冠状动脉狭窄了以后，或者是出现了严重的堵塞之后，这血流过不去了，患者的心肌细胞出现了严重的缺血缺氧，然后他的心脏就不工作了，心肌细胞就不干活了，这时候出现了心力衰竭，这种叫缺血性心脏病。
rumor428,0,御寒抗冻还真不能依赖厚厚的脂肪，主动抗寒要靠发达的肌肉
rumor429,0,世界卫生组织在2021年11月底就已经确认，确诊新冠的金标准。 PCR检测能检测出奥密克戎变异株。 PCR检测一般是测新冠的两段和三段基因序列，奥密克戎在S蛋白上的一个突变。 70号位氨基酸缺失，会导致PCR检测时S基因测不出来，但另外两段基因片段是阳性，感染奥密克戎的人还是可以被测出来的。并且，用这个方法可以倒推，通过S基因的缺失，快速检测这些阳性病例有多少是奥密克戎变异株
rumor430,0,从生理角度上来说，成人可以说不可能再长高了
rumor431!,1,火锅汤会致癌。
rumor432,0,首先看我们的血压控制速度平稳，如果血压一直控制很平稳的，那么降压药是不需要更换的，只有对那些血压用药后仍然是波动，或者是达不到我们的目标指的，去看专业的大夫进行血压药物的调整。
rumor433,0,想要拥有一个健康的肠胃，养成良好的排便习惯。
rumor434,0,事实上，长时间仰着头和低着头对颈椎的压迫是类似的，只是方向不同罢了。
rumor435!,1,脑瘤需要放化疗。
rumor436,0,想靠生花生米达到保护胃黏膜是没有必要保护胃肠最主要的还是靠健康。
rumor437,0,钙剂是骨健康基本补充剂，充足的钙摄入对获得理想骨峰值、减缓骨丢失、改善骨矿化和维持骨骼健康有益。此外普通维生素D也是骨健康补充剂。
rumor438,0,其实醋吃到我们身体内的时候，通过消化吸收了之后并不能软化血管，那么软化血管还需要通过适当的饮食来调节。
rumor439,0,戒烟和肥胖，你管不住嘴问我干嘛呀？对不对？两点啊？解压必须减肥必须都要靠自律别动埋怨我不是王里胖到不是
rumor440,0,脑出血一般来讲都是病人都会有头痛，恶心呕吐的症状而且这种症状一般来讲特别的急脑出血的患者往往都是在用力生气或者是血压升高的状态下脑梗塞更多地出现的是面瘫一侧肢体无力和言语不清而脑梗塞其实很多时候是发生在静息状态
rumor441,0,经常熬夜的人容易产生幻觉调，记忆力会变差。
rumor442,0,剧烈的头痛是脑出血最主要最早期的症状一旦有脑出血引起剧烈头痛开始这种头痛可能是权限大一点很快就会蔓延到整个头部脑出血的患者在发病的前期有不同程度的眩晕症状可能会类似于酒后站不稳或者是感觉到天旋地转症状重的才会突然的摔倒偶吐后吐是无血压的一个表现它往往是因为脑出血之后颅内压迅速地增高这种呕吐典型的我们叫喷射性的呕吐如果突然出现的一侧肢体的麻木和无力
rumor443,0,体检做无痛胃镜的时候，很多医生建议肠镜一起做，因为做胃肠镜都需要打麻醉，虽然麻醉的副作用并不大，但是既然从健康角度，胃肠镜的检查都有必要能够一次麻醉搞定对患者有好处。
rumor444,0,建议做肠镜检查自己有肠道腺瘤病史的。
rumor445,0,失眠对身体的会诱发很多疾病，包括消化不良啊，腹泻啊，包括情绪的低落啊，甚至抑郁症。
rumor446,0,并不是所有的运动都是“合理运动。 合理运动有两个关键要素，其一是运动强度，其二是运动种类。 无论进行哪种运动，都要先考虑安全性，再考虑锻炼效果。也就是根据自身的健康状况和心肺运动挑选合适的运动方式。如果超过了自身的耐受程度，往往会损害健康
rumor447,0,家里面如果有条件可以每三到五分钟对患者的意识进行一个评估以及监测他的血压和心率并做好记录等待么？二零来的时候及时地告诉急救我们要帮助患者开放他的气道。
rumor448,0,作为母亲来讲，还是对孩子中倾注的关注度觉得社会比咱们的事要搞一些别的一些小的剩下的关注度可能拿这个分担了他很多的精力和注意力的不能全心地投入到工作上。
rumor449,0,就可能说肾动脉狭窄，软还有长袖给抽都会给肠系膜动脉这些都有可能和你的这个大学考研相关那么它的临床表现也是非常丰富的老熟人如果他累积那你的颈动脉就是给脑子供血的颈动脉也好椎动脉也好它可能会出现什么呢？这个炎症和损伤的血管让你的血管变得不好主要累及的我们的大动脉大动脉有哪些呢？这些都可以作为我们诊断大动脉炎的一些蛛丝马迹那么累及到你的冠状动脉有利于到心脏上的这个大学完以后他可能就行出现这种心梗或者严重的狭窄那么累积到肾动脉了
rumor450,0,血压越高出血的风险越大收缩压超过一百八十毫米汞柱那么就可能引起脑出血如果在两百毫米汞柱以上出血的风险还会大大的增加高血压对血管的损害实际上是一个长期的过程血压高之后血流对血管壁的冲击会引起血管壁发生动脉粥样硬化变薄分子形成动脉瘤当血压再一高或者有波动的时候就可能让这个薄弱的地方突然一下破裂引起脑出血
rumor451,0,过量摄入维生素A和维生素D可能具有的毒性潜能最大，中等毒性潜能的是烟酸（即维生素B3），其他为低毒性潜能或是可忽略的毒性潜能
rumor452,0,增加全谷物的摄入可以降低二型糖尿病的患病风险结肠癌这一系列疾病的患病风险当你每天摄入的全谷物的量达到一百克我们的成人每天摄入五十到一百五全谷物对于身体是非常有益增加颧骨的摄入可以降低心血管病的患病风险
rumor453,0,各个脏器细胞都会受损而这种受损都是不可逆的他死掉他不会再活过所有命要尽快地进行抢救这个病人才能有个好参谋效果因为老百姓都不会千万全网有很多的医生都在讲科普，都做了很多这种心肺复苏的视频异地使用的视频目的是什么目的就是为了提高我们全民的这种艺术素养提高物种抢救的成功率你必须要特别避免黑娃有可能真的某一天就会发生在你身边当出现的时候你说你不好说并没有就几个字儿会专门为什么要会因为当有出现心跳骤停的时候全身的共识都不好你的脑细胞你们是女生呼救的把会讲很多遍了你把周围人都看过了蓝字多越好
rumor454!,1,肾结石不痛不用处理
rumor455,0,降低肠癌要运动，做有规律的体育运动。
rumor456!,1,胸口疼，那一按就疼，吃硝酸甘油。
rumor457,0,判断脑动脉瘤其实还是有些难的，因为动脉瘤除非是破裂脑动脉瘤，多数情况下是没有症状的，一旦破裂了，出现的第一症状就是头痛和呕吐。而最剧烈的头痛，有一部分患者会出现动眼神经麻痹之一恻隐皮掉下来的症状。
rumor458,0,有的还看着切开生蚝里面那些部位到底有没有不能吃的了生蚝你们黑黑那个东西不能吃轮胎，看这个很发黑的，少吃或者不吃的还有一种人不能吃，有什么对海鲜，对生蚝过敏的人千万不能吃还有就是脾胃虚寒的这些人吃完以后可能容易闹。
rumor459,0,吃饭的时候细嚼慢咽，多咀嚼一下对我们的胃以及身体是有好处的。
rumor460,0,再灌注治疗是缺血性脑卒中，就是脑梗塞的一种治疗方式，它主要是指血管堵塞之后用化学的方法或者用手术的方式把这个血管疏通。
rumor461,0,剧烈的体育运动一些球队投的这种碰撞一般来讲是不太会引起脑挫裂伤脑震荡
rumor462,0,胆排毒，这个完全就是子虚乌有，不管什么时候睡觉，饮食多么健康，作息多么规律，胆都不会排毒的。胆在人体内的功能就是分泌胆汁，当人体摄入大量酒精和脂肪的时候，胆囊会分泌胆汁，帮助肠胃进行消化。除此之外，现代医学暂时没有开发出胆囊的其他新功能
rumor463,0,脑动脉瘤是没有任何症状，但是它确确实实一旦破裂了就会导致脑出血而死亡。所以说千万不要小看它，一旦这些患者长期有高血压，应该控制危险因素，不必要。一些动脉瘤很严重的后果，大概有三分之二的病人会因为动脉瘤破裂。
rumor464,0,为了保鲜，荔枝确实会用到保鲜水，但对人体无害，只需要在吃之前认真清洗就好
rumor465!,1,我们下楼梯的时候可以玩手机。
rumor466,0,保护大脑的方法。第二要多吃不饱和脂肪酸含量丰富的食物和一些谷物和坚果。
rumor467,0,冠心病的是一个大的统称，可以导致心肌缺血，但是根据缺血程度的不同可以分为心绞痛或者是心肌梗死，而心肌梗死是冠心病最严重的表现。
rumor468,0,心绞痛的判断办法在心前区这种压倒性的疼痛，还有是肩部，前臂后背，甚至是牙疼，胃疼。
rumor469,0,经常熬夜会打乱你的生物钟，导致你神经系统，内分泌系统，免疫系统的功能紊乱，造成高血压，糖尿病，内分泌系统的异常，肿瘤细胞趁虚而入病毒细菌有机可乘，心梗，心肌炎，心衰，脑血管病，各种类型的肿瘤都可能发生。
rumor470!,1,自热米饭里的大米是假的
rumor471,0,支架手术后循序渐进运动不能一上来就快你心脏受不了。
rumor472!,1,孩子长得快是好事
rumor473,0,酒精进入到人体之内后会代谢为乙醛，乙醛会影响到尿酸的排泄，尿酸是痛风的一个危险最大的危险产物之一，那么尿酸排不出去，那么会引起尿酸会危及，会损害肾脏，也会引起我们症状发作。
rumor474,0,要听医生的，血管组织和病毒不是所有的病人都适合放支架通过做完造影之后心外科如果要达不上做支架的听医生的。
rumor475,0,较为干燥的有机化合物粉丝，在空气中遇到火源，当温度达到其燃点时，自然就燃烧起来
rumor476,0,看一个造影啊，我们其他正常的血管啊，看看它，这个血管曲里拐弯的相当方便面。
rumor477,0,垂体瘤的诊断是一个相对规范，也是一个复杂的过程，包括查病人的症状，影像学检查和磁共振平扫和增强是垂体瘤的标准检查，内分泌检查。所有垂瘤的患者都要查垂体五项，了解垂体瘤对激素水平的影响，必要的时候也需要药物治疗。
rumor478!,1,喝热水能治百病
rumor479,0,长期过度的饮酒会导致血脂升高，甚至发展成脂肪肝
rumor480,0,预防脑出血以下这五点要特别记控制血压是降的脑出血发生率最重要的措施。戒烟，控制过度的肥胖，降低食物中胆固醇和饱和脂肪酸的含量。糖尿病的病人一定要控制好血糖，多吃水果和蔬菜，减少熬夜，保持适当的运动。
rumor481!,1,突然戒烟反伤身
rumor482,0,失眠会对于青少年来讲还会影响生长发育。小孩在夜间生长激素分泌比较旺盛，它会生长发育，那么如果长期失眠，那么也会影响生长发育。
rumor483!,1,用一个打磨探头往返就能清除心脏血管内硬斑块
rumor484!,1,小朋友如果吃了不法商贩用“药水”泡的荔枝，会得手足口病
rumor485,0,还运动什么运动好？保证睡眠是怎么保证一晚上不停的电话急诊了然后去保证睡眠。怎么少吃这个事儿啊？保证睡眠。这点很重要。
rumor486,0,癫痫发作要注意好以下几个方面要立刻地保护患者的头偏向一侧避免他呕吐物引起他的误吸要防止患者的癫痫发作咬伤自己的舌头可以用筷子或者是勺的手柄放在两齿一定要快速呼叫专业的医护人员。
rumor487,0,大部分的钙结石属于草酸钙结石，这是因为草酸盐普遍存在各种食物中，当人体摄入草酸盐过多时，尿液中草酸盐浓度增加，与尿钙结合形成结晶，结晶在局部聚集则形成结石。归根结底，尿结石的形成原因是尿液中草酸盐及磷酸盐增高，而不是因为补钙造成的
rumor488!,1,女性生孩子后反应会变迟钝。
rumor489!,1,橘子分公橘子和母橘子：母橘子的底部是一个小圆圈，公橘子的底部是小圆点。母橘子发甜，公橘子发酸
rumor490,0,睡眠不好，精神紧张焦虑会造成胸闷憋气不舒服。
rumor491!,1,越甜的水果含糖量越多，而不甜的水果肯定含糖量少
rumor492,0,核准发生了急性脑梗死，外科医生可以用介入的方式把堵塞大血管的血栓给清除脑梗死后并发了大面积脑水肿的患者，我们还可以去补办血压，血脂要强调牢更的治疗。
rumor493,0,主动脉夹层引起的疼痛主要在胸骨后表现为胸骨后的剧烈的疼痛以及呼吸困难包括喘不上气那么这种疼痛非常非常的危险也非常的紧迫三叉神经痛主要是由于三叉神经受到了刺激引起的往往是局限在一侧的面部那么在患者在洗脸和刷牙的时候不小心一旦碰到了会剧烈的放电一样的或者说刀割一样的这种疼痛往往这种病人都不敢洗脸不敢刷牙
rumor494!,1,吃核桃可以补脑。
rumor495!,1,心脏病就是冠心病
rumor496,0,奥运选手的寿命会不会更长一些？那么我们作为普通人应该怎么进行运动的运动？长期做的运动还可能造成一些伤病和伤痛，那么都会影响我们的寿命。
rumor497,0,尽管吃辣能提高那么一丢丢的能量消耗，但是靠吃辣减肥，很可能看不出效果甚至越减越肥
rumor498,0,冠心病吃药什么时候停药或者更改方案，医生会根据你吃药的这个时间呢，复查的结果，个人的情况等等很多因素去决定，千万不能自己随意的停药。
rumor499!,1,大豆中含有雌激素，会导致孩子性早熟，让人乳腺增生甚至患上乳腺癌
rumor500,0,霍乱是由霍乱弧菌盐引起的一种急性腹泻性疾病能够快速地导致人体的呕吐，腹泻发热，然后大量的脱水。
rumor501,0,多干让自己开心的事儿，多和让自己开心的人在一块儿。
rumor502,0,秋天饮食清淡盐的量要减少糖的量要减少油脂要减少秋天是心脑血管疾病的一个高发的季节所以大家还是要从吃上要管好，尽量吃得清淡一点总摄入量不要太
rumor503,0,喝水过多也会对人体健康造成危害。 至于水温，中国人更适宜于温热，而非越热越好。
rumor504,0,乳酸菌饮料的本质还是饮料，可能它其中的确有相当一部分对身体有益的乳酸菌，但更多的是糖份防腐添加剂，想长期的喝来达到调节肠道有益菌群而不考虑高糖高脂，大量添加剂的是得不偿失的。
rumor505!,1,吃自热食品会引发肠癌
rumor506!,1,有睡眠障碍可以服用褪黑素
rumor507,0,自测血糖扎手指的两侧的指腹是餐后粮食血糖这里要特别注意餐后两小时是指从进食第一口开始泛起的而不是从你吃完饭后两个小时开始算起的第三夜间的血糖夜间的血糖反应的我们会不会有得低血糖的风险所以说，这三个时间点是不同的
rumor508,0,大豆异黄酮能减缓乳腺癌细胞增长，降低乳腺癌发生风险
rumor509,0,目前国内外仍在生产和使用的荧光增白剂不足100种，这些都已被毒理数据证明是低毒或基本无毒的，所以消费者是可放心使用的。 。各种添加荧光增白剂的食品、纸制品及化妆品等产品，都需要经过国家标准或者行业标准检验。 ，检验合格方可对外销售
rumor510,0,我们要做到一个低脂饮食对健康还是有益的。
rumor511!,1,烫伤后可以抹牙膏和酱油，用冰敷。
rumor512,0,脑出血实际上对脑血管列了一个小口血液流到血管的外面的一般来讲少量的出血都会引起病人剧烈的头痛这种头痛往往是最辈子应该说最最剧烈的头痛这种情况下要怀疑脑出血当然，如果出血量特别大的时候，可能患者很快就会陷入昏迷来不及去反应这种头痛的症状
rumor513!,1,放了支架了，能打麻将。
rumor514!,1,洋葱和醋能软化血管。
rumor515,0,高血压一定要注意以下几点要遵从医嘱好好吃药高血压严格意义上来讲是要求终身服药的在吃药的同时一定要注意监测血压，药物控制之外，咱们还要加食物控制和运动的调节少吃这些高油高脂高糖食物适当地进行体育锻炼控制体重需要保持一个平和的心态
rumor516!,1,撞树锻炼可以强身健体？
rumor517,0,市场上很多老人鞋都主打鞋底柔软，但过度柔软的鞋底并不好。老人穿着太软的鞋子走路，就像踩在棉花上，身体反而不稳。老年人走路尤其需要这样，要有踩在地上的感觉
rumor518,0,开启除湿模式时，室内吹风机将保持低速运行，压缩机也会间断性运作，如此不断地循环，使室温保持在设定的温度附近。而开启制冷模式后，空调压缩机和吹风机会持续运作，直到室内温度达到低温后才会停机。。梅雨季节不太热但湿度大时，除湿模式更适合；当房间内又热又潮湿时首选制冷模式。如果纯粹从耗电量来考虑的话，与其使用除湿模式来省电，还不如把空调的温度调高两度来得更环保省电
rumor519,0,雌激素的保护女性的心血管病的患病患病率也会显著的增高原因睡眠障碍和焦虑情绪会加重冠心病的进展女性天生比较敏感更容易多愁善感尤其是进入更年期后普遍会存在种睡眠障碍和精神心理方面的问题那么我们应该怎么去预防呢？首先肯定是要养成健康的生活习惯尤其在饮食上啊，过油的过甜的过咸的我们都要尽量的去控制第二点呢？进入绝经期以后也就是四十五岁到五十五岁左右的这个女性体内的这个激素水平会波动得比较大一定要定期的查查血糖查查血压厕所骨密度还要及时的妇科检查第三点要有良好的睡眠的状态不仅要睡得着还要质量高入睡困难早醒多梦这些情况都建议你要及时的调整如果调整以后还不好建议到睡眠门诊去看一看或者睡眠专科
rumor520,0,酒精性心肌病，也叫酒精性心脏病，这个病是我们最常见的心衰出现的原因之一。
rumor521,0,想知道宝宝肚子里是不是有蛔虫需要做超声或者ct被
rumor522,0,实际上冷热水是完全可以掺着喝的，也不会导致拉肚子，但前提是保证无论是冷水还是热水都是已经烧开过的水或者卫生指标合格的瓶装水
rumor523,0,血管狭窄要看它的程度，一般来说，百分之五十以下的血管狭窄是不至于影响血流的，但是血管狭窄的程度超过板都是，特别是超过八的亲侄后，血流是会受到影响的，那么血流受到影响，特别是血流慢的时候，那么就有可能会形成血栓。
rumor524!,1,鱼子酱以国外产的质量为佳，国产鱼子酱不如国外质量好
rumor525!,1,早晨起来，喝一杯淡盐水能够通便排毒。
rumor526,0,猪肺的主要的成分是蛋白质、脂肪、维生素和矿物质。其中，蛋白质对提高机体的抵抗力有一定的好处，维生素A不仅对皮肤、视网膜有帮助，而且有助于呼吸道的黏膜，所以对肺脏疾病有一定的作用。但是肺脏所含的嘌呤、胆固醇也特别高。生活中，没有哪种食物吃了就能预防一个疾病，这本质上是一个伪命题
rumor527,0,高血压患者平常运动不要过量，不要过于劳累，要逐渐的增加运动量。运动的时候一定不要空腹防止低血糖。建议大家餐后两小时左右开始运动，运动的时候不要突然停止运动中出现不适时因厉害停止，及时就医。
rumor528,0,很多脑血管病都和吸烟有关。对我们心脑血管疾病来说，吸烟是绝对危险因素。对于脑子来说，抽烟可以使中风风险增高一倍，对于脑出血来说的增高两到四倍，其实被动吸烟也有害，平常在家被动吸烟也会增加患很多脑血管病的风险。
rumor529,0,在医院检查有些检查要重复做目的是为了我们诊断疾病提供一些依据有些检查具有很强的时效性的比如说心电图在发病跟非发病的时候它的诊断的价值是不同的因此可能需要随时做如有新的症状或者是新的病情的变化有可能还需要随时去做
rumor530,0,水果的甜度不仅与含糖量有关，也和酸性物质的含量以及含水量有关。所以不能单纯用吃起来甜不甜来判断水果的含糖量
rumor531,0,脑梗塞，其实百分之三十左右是由颈动脉狭窄引起的，颈动脉是供应我们两侧大脑半球的主要的血管如果这个血管狭窄百分之七十以上的时候就会出现血流的障碍，那么这个时候就会出现脑梗塞的情况。那么脑梗塞。
rumor532!,1,叶酸只有孕妇才要补
rumor533,0,预防颈椎病就是劳逸结合，要避免和颈部的高速的这种，特别是咱们在货车时候系安全带还能够帮你预防颈椎病，有助于晚上睡眠。枕头的高度，挑选一个合适的枕头，不仅有利于你的睡眠。
rumor534,0,心脏不是长在体表我们外面有皮肤有肌肉有肋骨和胸廓整个去保护心脏是在胸腔里根本压不到
rumor535,0,正确的做法是早上起来喝一杯温开水。
rumor536!,1,药物过期了还能吃
rumor537,0,狂犬疫苗并非只打1次就可完成全程免疫，不能存有侥幸心理
rumor538,0,如果一个人一直处于高压状态，精神紧张，焦虑不该兴奋的交感神经就会紊乱，胃肠道周围的血管收缩，血供减少，胃肠蠕动减慢，人难受了，感觉到焦虑了，可以听一些舒缓的音乐，尝试放松一下情绪，也许肠胃就舒服了，同时要到正规医院看病。
rumor539,0,当最佳矫正视力低于相应年龄段的最低视力标准时，才称之为弱视。弱视是视觉发育期间由于异常视觉经验引起的单眼或双眼最佳矫正视力以及视功能下降，眼部检查无器质性病变
rumor540,0,足够数量的活艾滋病毒进入人体才会导致感染。 艾滋病毒很脆弱，在体外很容易失活。 扎针、蚊虫叮咬、血洒食物，不大可能传播艾滋病毒。
rumor541!,1,洗发水中的“硅油”会导致脱发
rumor542,0,咱可不带这么说的啊，你看了个视频就心梗了，他说好大夫部分，那还不希望大家能有所帮助，但是探戈反正不能这么说了，你别说看了。
rumor543,0,血压控制的稳定不稳定，这才是一个科学的态度吗？这个血压确实就会存在，测量咱这一天中的几次血压，它稳定不稳定。您这个血压怎么样啊？
rumor544,0,蜂蜜里的果糖能够加速酒精的代谢。
rumor545,0,按照正常工艺流程生产的矿泉水根本不会出虫子和杂质问题。 瓶装水有虫卵可能是假冒伪劣产品，也可能是不按规范生产的产品（小品牌产品有这种可能，但大品牌产品有严格管理制度，基本不可能有这种问题，而且对品牌而言得不偿失）
rumor546,0,健康的血管是血管一定要是通畅的，没有血管的狭窄，血管的弹性的，要是好的，要一定的收缩和舒张的能力，血流可能要是通畅。
rumor547,0,吸烟对我们血管对心脏的这个损害低点它会刺激你的血管内皮让你的血管内皮更容易受损斑块就越长越大你放过支架的地方就容易出现再狭窄还会刺激血管产生痉挛有范仲痉挛性的新高
rumor548,0,婴儿气道被异物梗阻，用海姆立克急救法。
rumor549!,1,左眼跳财，右眼跳灾，
rumor550!,1,食品添加剂都不能吃
rumor551,0,摄入过多的维生素D的症状，有可能表现为厌食、体重下降、尿频、剧渴、心率不齐等；严重情况下，可能引起高血钙和高尿钙症，导致血管钙化，对心脏、血管以及肾脏造成损伤
rumor552!,1,用荔枝核煮水可以治疗肝病
rumor553!,1,奥密克戎变异株能躲避新冠测试，感染的人检测不出来
rumor554,0,当胃反酸严重，也就是说患有胃食管反流，喝小米粥可刺激胃黏膜，因它是粗粮，膳食纤维含量丰富。
rumor555,0,过量的运动反而会造成慢性的关节损伤。要走的话每天六千步左右比较健康。
rumor556!,1,闭眼休息可以避免干眼症状的发生
rumor557,0,高血压是脑出血的最主要的原因。高血压病会导致动脉玻璃样变，这种玻璃样变的血管会非常的脆，而且局部会出现扩张，形成微小的动脉瘤当我们用力或者是情绪波动的时候，这种玻璃样变的血管容易破裂产生。
rumor558!,1,口服避孕药导致血栓
rumor559!,1,人不小心吞进去，口香糖会把胃肠道粘住。
rumor560,0,洗澡的时候会突发脑梗多人洗澡的时候喜欢用热水，非常热的水会引起血管的扩张会引起脑供血的不足而且我们的浴室多数是一个比较密闭的环境相对来讲，随着时间的延长，氧气的含量也会下降洗澡本身是一个轻中度的体验劳动事实上会加重心脏的负担对一些心脏有基础性疾病的患者可能会诱发脑梗
rumor561!,1,复原乳是假牛奶
